Picarro Gas: time (epoch),Picarro Gas: CavityPressure,Picarro Gas: OutletValve,Picarro Gas: CO,Picarro Gas: CO2,Picarro Gas: CH4,Picarro Gas: H2O,Picarro Water: time (epoch),Picarro Water: CavityPressure,Picarro Water: OutletValve,Picarro Water: H2O,Picarro Water: Delta_18,Picarro Water: Delta_D,Picarro Water: ValcoPosition,Laser Distance Sensor: time (epoch),Laser Distance Sensor: Distance (cm),Laser Distance Sensor: Temperature (C),Abakus Particle Counter: time (epoch),Abakus Particle Counter: Total Counts,Flowmeter: time (epoch),Flowmeter: SLI2000 (uL/min),Flowmeter: SLS1500 (mL/min),Bronkhorst Pressure: time (epoch),Bronkhorst Pressure: Setpoint (mbar a),Bronkhorst Pressure: Measurement (%),Bronkhorst Pressure: Measurement (mbar a),Bronkhorst Pressure: Temperature (C),Melthead: time (epoch),Melthead: Temperature (Not Yet Integrated)
1742869634.7200267,40.015,22881.777,0.024,0.004,0.001,0.011,1742869634.7210238,49.998,25760.711,36279.107,-34.305,-337.363,4.0,1742869634.6616178,nan,-2.5,1742869634.5498915,4348,1742869634.9014518,1.346666666666667,-0.002133333333333334,1742869635.6105914,nan,nan,nan,nan,1742864085.6002867,nan
1742869635.711883,40.015,22881.777,0.024,0.004,0.001,0.011,1742869635.714874,49.997,25759.341,36295.227,-34.882,-338.246,4.0,1742869635.6534708,nan,-2.6,1742869635.5699482,4348,1742869635.8611972,0.27999999999999986,0.0008,1742869636.565579,nan,nan,nan,nan,1742864085.6002867,nan
1742869635.711883,40.015,22881.777,0.024,0.004,0.001,0.011,1742869635.714874,49.997,25759.341,36295.227,-34.882,-338.246,4.0,1742869635.6534708,nan,-2.6,1742869635.5699482,4348,1742869635.8611972,0.27999999999999986,0.0008,1742869636.565579,nan,nan,nan,nan,1742864085.6002867,nan
1742869637.7751567,40.022,22899.021,-0.01,0.026,0.0,0.009,1742869637.7781482,49.999,25759.036,36265.87,-34.588,-337.493,4.0,1742869637.6785836,nan,-2.7,1742869637.5634227,4349,1742869637.9227543,4.16,0.001466666666666667,1742869638.6036882,nan,nan,nan,nan,1742864085.6002867,nan
1742869638.7038,40.037,22917.291,0.033,0.016,0.0,0.009,1742869638.7067637,50.0,25758.881,36217.863,-34.331,-338.198,4.0,1742869638.6468928,nan,-2.8,1742869638.5637627,4349,1742869638.8824987,-2.253333333333333,-0.001733333333333334,1742869639.6046443,nan,nan,nan,nan,1742864085.6002867,nan
1742869638.7038,40.037,22917.291,0.033,0.016,0.0,0.009,1742869638.7067637,50.0,25758.881,36217.863,-34.331,-338.198,4.0,1742869638.6468928,nan,-2.8,1742869638.5637627,4349,1742869638.8824987,-2.253333333333333,-0.001733333333333334,1742869639.6046443,nan,nan,nan,nan,1742864085.6002867,nan
1742869640.699293,40.031,22940.016,0.033,0.016,0.0,0.009,1742869640.7022853,50.001,25760.89,36200.88,-34.793,-337.59,4.0,1742869640.685077,nan,-3.0,1742869640.539397,4349,1742869640.8636606,6.466666666666668,0.0004,1742869641.6051698,nan,nan,nan,nan,1742864085.6002867,nan
1742869640.699293,40.031,22940.016,0.033,0.016,0.0,0.009,1742869640.7022853,50.001,25760.89,36200.88,-34.793,-337.59,4.0,1742869640.685077,nan,-3.0,1742869640.539397,4349,1742869640.8636606,6.466666666666668,0.0004,1742869641.6051698,nan,nan,nan,nan,1742864085.6002867,nan
1742869642.6965067,39.984,22913.906,-0.006,0.008,0.001,0.011,1742869642.7004957,50.003,25763.022,36170.742,-34.648,-337.865,4.0,1742869642.681546,nan,-3.0,1742869642.5146196,4349,1742869642.862894,0.9866666666666664,0.0030666666666666663,1742869643.5840251,nan,nan,nan,nan,1742864085.6002867,nan
1742869642.6965067,39.984,22913.906,-0.006,0.008,0.001,0.011,1742869642.7004957,50.003,25763.022,36170.742,-34.648,-337.865,4.0,1742869642.681546,nan,-3.0,1742869642.5146196,4349,1742869642.862894,0.9866666666666664,0.0030666666666666663,1742869643.5840251,nan,nan,nan,nan,1742864085.6002867,nan
