Picarro Gas: time (epoch),Picarro Gas: CO2,Picarro Gas: CH4,Picarro Gas: CO,Picarro Gas: H2O,Laser Distance Sensor: time (epoch),Laser Distance Sensor: Distance (cm),Laser Distance Sensor: Temperature (C),Abakus Particle Counter: time (epoch),Abakus Particle Counter: Total Counts,Flowmeter: time (epoch),Flowmeter: SLI2000 (uL/min),Flowmeter: SLS1500 (mL/min)
1726275586.3419917,-0.99,-0.001,-0.006,0.021,1726275585.5915294,0.0,-4.4,1726275585.5286245,0,1726275585.5286245,9.2,-0.002
1726275587.1747866,-0.99,-0.001,-0.006,0.021,1726275586.4203417,0.0,-4.4,1726275586.3419917,0,1726275586.3419917,8.0,-0.002
1726275588.0061681,-0.99,-0.001,-0.006,0.021,1726275587.2531931,0.0,-4.5,1726275587.1747866,0,1726275587.1747866,8.0,-0.002
1726275588.8533523,-0.99,-0.001,-0.006,0.021,1726275588.08454,0.0,-4.5,1726275588.0061681,0,1726275588.0061681,8.0,0.0
1726275589.6856246,-0.99,-0.001,-0.006,0.021,1726275588.93146,0.0,-4.5,1726275588.8533523,0,1726275588.8533523,8.2,0.0
1726275590.5321183,-0.99,-0.001,-0.006,0.021,1726275589.7640185,0.0,-4.5,1726275589.6856246,0,1726275589.6856246,8.8,0.0
1726275591.380817,-0.99,-0.001,-0.006,0.021,1726275590.6261382,0.0,-4.5,1726275590.5321183,0,1726275590.5321183,8.2,0.0
1726275592.2301037,-0.99,-0.001,-0.006,0.021,1726275591.4745607,0.0,-4.5,1726275591.380817,0,1726275591.380817,7.6,0.0
1726275593.0774996,-0.99,-0.001,-0.006,0.021,1726275592.3084831,0.0,-4.5,1726275592.2301037,0,1726275592.2301037,9.6,-0.002
1726275593.9416442,-0.99,-0.001,-0.006,0.021,1726275593.1712244,0.0,-4.6,1726275593.0774996,0,1726275593.0774996,8.0,0.0
1726275594.7891595,-0.99,-0.001,-0.006,0.021,1726275594.0043874,0.0,-4.6,1726275593.9416442,0,1726275593.9416442,8.6,0.0
